Period,ConsConf,CompLead,BusConf,Emp,InvToSales,PMI,SP500,MfgOrdDur,BldgPerm,Sales,FedFunds,DJI,Payroll,PersCons
2007-01,100.8497,101.4669,99.40803,72.11646,1.31,49.5,1424.16,217697,1626,327125,5.25,12621.69,135335,9553.1
2007-02,100.6274,101.5683,99.51553,71.97358,1.3,51.9,1444.8,222033,1598,328076,5.26,12268.63,136026,9590.8
2007-03,100.3566,101.6771,99.64309,71.99528,1.28,50.7,1406.95,228802,1596,330800,5.26,12354.35,136922,9631.6
2007-04,100.1832,101.7829,99.82444,71.70923,1.28,52.6,1463.64,231816,1470,329653,5.25,13062.91,137730,9670.6
2007-05,100.1231,101.8653,99.93272,71.76241,1.28,52.5,1511.14,227263,1493,334135,5.25,13627.64,138673,9708.9
2007-06,100.0826,101.9084,99.94231,71.77509,1.28,52.6,1514.19,229731,1407,331002,5.25,13408.62,139177,9723.3
2007-07,100.0596,101.8949,99.82059,71.74477,1.29,52.4,1520.71,238451,1361,332228,5.26,13211.99,137778,9759.6
2007-08,99.83127,101.8191,99.64492,71.58531,1.28,50.9,1454.62,233929,1321,333830,5.02,13357.74,137890,9800.6
2007-09,99.57711,101.7102,99.49226,71.71059,1.28,51,1497.12,227276,1261,335509,4.94,13895.63,138456,9837.5
2007-10,99.28371,101.5863,99.38263,71.59396,1.27,51.1,1539.66,228963,1192,337458,4.76,13930.01,139198,9853.9
2007-11,98.99897,101.4559,99.28407,71.77396,1.26,50.5,1463.39,232795,1224,340872,4.49,13371.72,139510,9928.6
2007-12,98.83144,101.3273,99.20113,71.55109,1.28,49,1479.22,243079,1149,336844,4.24,13264.82,139298,9947.6
2008-01,98.67041,101.1975,99.18903,71.67477,1.27,50.3,1378.76,236426,1094,337537,3.94,12650.36,136268,9963.2
2008-02,98.28287,101.0604,99.0989,71.43948,1.29,48.3,1354.87,233636,1014,334524,2.98,12266.39,136787,9955.7
2008-03,97.81564,100.9092,99.07532,71.43076,1.28,48.6,1316.94,231216,967,335104,2.61,12262.89,137378,10004.2
2008-04,97.28899,100.7267,99.1399,71.4076,1.27,48.6,1370.47,229308,1008,335357,2.28,12820.13,137914,10044.6
2008-05,96.91086,100.4885,99.27821,71.20232,1.26,49.6,1403.22,230055,995,337762,1.98,12638.32,138488,10093.3
2008-06,96.79195,100.1542,99.37515,71.10937,1.25,50.2,1341.25,229237,1180,338234,2,11350.01,138683,10149.4
2008-07,96.99444,99.68669,99.28776,70.9212,1.26,50,1257.33,223460,921,336570,2.01,11378.02,137203,10151.1
2008-08,97.25097,99.05539,98.87483,70.6909,1.29,49.9,1281.47,216876,858,333836,2,11543.96,137094,10140.3
2008-09,97.32679,98.25745,98.04216,70.52486,1.31,43.5,1216.95,211788,797,328031,1.81,10850.66,137148,10083.2
